movie_name,movie_code,actor_name,actor_code,open_date,audience
______,20129370,_________,10072251,14.7.30,"17,613,682"
______,20129370,_________,10019065,14.12.17,"14,257,115"
______,20129370,_________,10067353,15.8.5,"13,239,448"
______,20129370,______,10070417,06.7.27,"13,019,740"
______,20129370,_________,10057329,12.7.25,"12,983,330"
______,20129370,_________,20191126,13.1.23,"12,811,206"
______,20129370,_________,10056268,15.7.22,"12,698,366"
______,20129370,_________,10000912,12.9.13,"12,319,542"
______,20129370,_________,20134172,05.12.29,"12,302,831"
______,20129370,_________,10006155,04.2.5,"11,746,135"
______,20129370,_________,20126810,09.7.22,"11,453,338"
______,20129370,______,20175963,13.12.18,"11,374,610"
____________,20137048,_________,10090290,03.12.24,"11,081,000"
____________,20137048,_________,10005297,13.8.1,"9,349,991"
____________,20137048,_________,10050151,13.9.11,"9,134,586"
____________,20137048,_________,20157703,14.8.6,"8,666,046"
____________,20137048,_________,20133283,14.1.22,"8,656,397"
____________,20137048,_________,20202898,09.7.29,"8,487,894"
____________,20137048,_________,10090348,07.8.1,"8,426,973"
____________,20137048,_________,10003969,08.12.3,"8,245,523"
____________,20137048,_________,20203568,05.8.4,"8,008,622"
______,20060151,_________,10037018,11.8.10,"7,470,633"
______,20060151,_________,10029474,11.5.4,"7,362,467"
______,20060151,_________,10001670,07.7.25,"7,307,993"
______,20060151,_________,10031400,13.1.30,"7,166,199"
______,20060151,_________,10030016,13.6.5,"6,959,083"
______,20060151,_________,20162029,06.9.28,"6,847,777"
______,20060151,_________,20126810,08.7.17,"6,686,912"
______,20060151,_________,20166533,12.10.31,"6,654,837"
_________,20124034,_________,10005276,06.12.14,"6,619,498"
_________,20124034,_________,10006380,10.8.4,"6,282,774"
_________,20124034,_________,10057315,09.12.23,"6,136,928"
_________,20124034,_________,10061467,06.1.19,"6,105,431"
_________,20124034,_________,10058502,15.6.24,"6,041,196"
_________,20124034,_________,10006221,99.2.13,"5,820,000"
_________,20124034,_________,10050151,05.9.7,"5,635,266"
_________,20124034,_________,20125794,13.8.14,"5,604,104"
7_________ ______,20127593,_________,10019065,13.7.31,"5,583,596"
7_________ ______,20127593,_________,10028892,13.7.3,"5,508,017"
7_________ ______,20127593,_________,20157232,10.2.4,"5,507,106"
7_________ ______,20127593,_________,10050151,11.10.20,"5,310,510"
7_________ ______,20127593,_________,10029013,03.4.25,"5,255,376"
7_________ ______,20127593,_________,10005617,12.12.25,"5,181,014"
7_________ ______,20127593,_________,10061699,05.1.27,"5,148,022"
7_________ ______,20127593,_________,10003728,08.2.14,"5,071,619"
7_________ ______,20127593,_________,10062279,15.9.16,"4,965,798"
______ _________ ______,20124079,_________,10055626,03.2.7,"4,937,573"
______ _________ ______,20124079,_________,10019065,12.8.8,"4,909,937"
______ _________ ______,20124079,_________,10087820,14.11.27,"4,801,527"
______ _________ ______,20124079,______,10060043,11.1.27,"4,786,259"
______ _________ ______,20124079,_________,10005410,14.7.23,"4,774,895"
______ ______,20050333,_________,10000461,12.2.2,"4,719,872"
______ ______,20050333,_________,10057469,13.2.21,"4,682,492"
______ ______,20050333,_________,10054128,11.9.22,"4,662,822"
______ ______,20050333,_________,10062279,12.5.17,"4,598,583"
______ ______,20050333,_________,20110629,12.7.5,"4,515,833"
______ ______,20050333,_________,10000686,08.6.19,"4,300,670"
_________ ____________,20030371,_________,10060114,13.12.24,"4,131,248"
_________ ____________,20030371,______,10052465,12.3.22,"4,110,645"
_________ ____________,20030371,_________,10057024,05.12.14,"4,094,395"
_________ ____________,20030371,_________,10066769,09.4.22,"4,088,799"
_________ ____________,20030371,_________,10057175,02.12.11,"4,082,797"
_________ ____________,20030371,_________,20156355,12.1.18,"4,057,546"
_________ ____________,20030371,_________,10056645,08.1.10,"4,044,582"
_________ ____________,20030371,_________,20124730,14.9.3,"4,015,361"
_________ ____________,20030371,_________,20123378,05.1.27,"3,911,356"
_________ ____________,20030371,_________,10006488,13.1.9,"3,897,969"
_________ ____________,20030371,_________,20130044,06.7.13,"3,880,308"
_________ ____________,20030371,_________,20132043,15.2.11,"3,872,015"
_________,20090074,_________,10035772,14.4.30,"3,849,433"
_________,20090074,_________,10087280,08.12.30,"3,779,553"
_________,20090074,_________,10029293,08.9.4,"3,726,134"
_________,20090074,_________,10047352,05.7.29,"3,650,000"
_________,20090074,_________,10055447,14.7.3,"3,566,336"
_________,20090074,_________,10000533,03.10.2,"3,522,747"
_________,20090074,_________,10005215,06.9.21,"3,464,516"
_________,20090074,_________,10005237,12.1.18,"3,459,780"
_________,20090074,_________,20133172,14.5.29,"3,450,305"
_________,20090074,_________,20134070,13.9.5,"3,435,801"
_________,20090074,_________,20134373,10.7.14,"3,408,144"
_________,20090074,_________,20137672,10.6.16,"3,385,706"
_________,20090074,______,10028603,03.11.21,"3,269,000"
_________,20134803,_________,10037018,04.4.2,"3,149,500"
_________,20134803,_________,10004995,03.9.4,"3,148,748"
_________,20134803,_________,10050151,03.6.13,"3,146,217"
_________,20134803,_________,20127192,07.2.1,"3,143,247"
_________,20134803,_________,20171222,06.9.14,"3,132,320"
_________,20134803,_________,10037131,11.7.20,"3,125,069"
_________,20134803,_________,10062060,13.8.14,"3,119,023"
_________,20134803,_________,20180659,04.1.16,"3,115,767"
_________,20134803,_________,10004459,02.11.20,"3,101,900"
_________,20030410,_________,10035772,05.3.10,"3,090,467"
_________,20030410,_________,10043371,10.1.28,"3,068,544"
_________,20030410,_________,10088453,09.6.11,"3,059,812"
_________,20030410,_________,10062184,05.9.23,"3,051,134"
_________,20030410,_________,10058468,15.3.25,"3,044,134"
_________,20030410,_________,20131240,07.11.1,"3,038,868"
_________,20030410,_________,10000736,10.6.2,"3,035,116"
_________,20030410,_________,20064130,09.5.28,"3,013,523"
_________,20030410,_________,20147022,11.12.1,"3,009,356"
_________,20030410,_________,20125827,13.11.14,"2,971,475"
_________,20030410,_________,20162821,12.11.29,"2,963,449"
_________,20030410,_________,20162840,09.1.15,"2,962,897"
_________,20030410,_________,10058265,11.7.20,"2,945,137"
_________,20030410,_________,20128392,10.12.22,"2,897,477"
_________,20030410,_________,20090184,04.9.17,"2,890,000"
____________,20126674,_________ _________,10077150,15.6.18,"2,860,789"
____________,20126674,_________,10037018,14.4.30,"2,841,788"
____________,20126674,______ _________,10047586,03.10.17,"2,771,236"
____________,20126674,___ ______,10068587,10.10.28,"2,766,436"
____________,20126674,______ _________,10081721,07.2.14,"2,750,457"
____________,20126674,_________ ___,10063545,10.9.16,"2,731,828"
____________,20126674,____________ _________,20128871,12.11.8,"2,729,808"
____________,20126674,______ _________,10056914,13.10.2,"2,711,071"
____________,20126674,_________,10001670,12.6.6,"2,636,320"
____________,20126674,_________ ___,10045066,11.3.31,"2,595,625"
____________,20126674,______,20187111,09.10.22,"2,583,294"
______,20126091,_________,10037018,06.2.23,"2,576,022"
______,20126091,_________,10057315,04.11.5,"2,565,078"
______,20126091,_________,10030351,14.12.24,"2,564,340"
______,20126091,_________,20121022,05.10.7,"2,533,103"
